"TOA5","CR1000_PROFIL_CO2","CR1000","E7096","CR1000.Std.26","CPU:ICOS_PROFIL_CO2_V8.CR1","53781","Profil_CO2"
"TIMESTAMP","RECORD","CO2_avg(1)","CO2_avg(2)","CO2_avg(3)","CO2_avg(4)","CO2_avg(5)","CO2_avg(6)","H2O_avg(1)","H2O_avg(2)","H2O_avg(3)","H2O_avg(4)","H2O_avg(5)","H2O_avg(6)","Press_avg(1)","Press_avg(2)","Press_avg(3)","Press_avg(4)","Press_avg(5)","Press_avg(6)","Temp_avg(1)","Temp_avg(2)","Temp_avg(3)","Temp_avg(4)","Temp_avg(5)","Temp_avg(6)","H2Odewpoint_avg(1)","H2Odewpoint_avg(2)","H2Odewpoint_avg(3)","H2Odewpoint_avg(4)","H2Odewpoint_avg(5)","H2Odewpoint_avg(6)","Debit_avg(1)","Debit_avg(2)","Debit_avg(3)","Debit_avg(4)","Debit_avg(5)","Debit_avg(6)","Temp_gaine_Avg"
"TS","RN","ppm","ppm","ppm","ppm","ppm","ppm","ppt","ppt","ppt","ppt","ppt","ppt","kPa","kPa","kPa","kPa","kPa","kPa","deg_C","deg_C","deg_C","deg_C","deg_C","deg_C","deg_C","deg_C","deg_C","deg_C","deg_C","deg_C","l/min","l/min","l/min","l/min","l/min","l/min",""
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Avg"
"2014-07-29 23:15:00",46,434.4831,417.1485,412.6135,855.6898,-0.3140532,399.5261,15.44183,14.85705,14.7498,15.59606,0.6077505,0.8426601,99.2867,99.26714,99.25848,99.52953,99.51474,99.51394,50.66252,50.66772,50.6729,50.66512,50.66256,50.66254,13.30302,12.70955,12.59773,13.49297,-28.18577,-24.63475,0.882,0.87,0.869,0.878,0.859,0.855,23.51331
"2014-07-29 23:30:00",47,428.0677,416.7305,416.0047,837.7639,-0.3140532,399.5261,15.42776,14.83948,14.6993,15.59315,0.6077505,0.8426601,99.27572,99.25127,99.2515,99.5306,99.51474,99.51394,50.66512,50.67032,50.66254,50.6703,50.66256,50.66254,13.28736,12.68907,12.54438,13.49027,-28.18577,-24.63475,0.881,0.873,0.875,0.869,0.859,0.855,23.50094
"2014-07-29 23:45:00",48,424.0586,415.7141,417.6093,974.4549,-0.3140532,399.5261,15.24673,14.81511,14.63223,15.53226,0.6077505,0.8426601,99.27785,99.25848,99.2531,99.52927,99.51474,99.51394,50.65736,50.66254,50.66254,50.65996,50.66256,50.66254,13.10688,12.6651,12.47494,13.43001,-28.18577,-24.63475,0.879,0.882,0.868,0.869,0.859,0.855,23.47813
"2014-07-30 00:00:00",49,422.6401,413.861,417.3008,952.3507,-0.3140532,399.5261,15.09053,14.5829,14.45593,15.44685,0.6077505,0.8426601,99.27412,99.2588,99.25848,99.52441,99.51474,99.51394,50.66254,50.66254,50.66252,50.66254,50.66256,50.66254,12.9488,12.4244,12.29129,13.34468,-28.18577,-24.63475,0.881,0.876,0.869,0.874,0.859,0.855,23.43823
"2014-07-30 00:15:00",50,424.5169,421.1829,414.8336,916.1242,0.6100744,400.1897,14.9614,14.56925,14.4282,15.34188,1.092526,1.348225,99.27224,99.25285,99.24828,99.50859,99.58379,99.5972,50.67028,50.67288,50.6703,50.66772,50.66254,50.65994,12.81717,12.40924,12.26053,13.23771,-21.68431,-19.2752,0.877,0.886,0.873,0.871,0.871,0.89,23.33674
"2014-07-30 00:30:00",51,425.5357,416.1745,412.5919,849.5713,0.6100744,400.1897,14.45905,14.26776,14.10094,15.16163,1.092526,1.348225,99.28188,99.26388,99.25364,99.53087,99.58379,99.5972,50.6651,50.67032,50.67288,50.66254,50.66254,50.65994,12.29808,12.09299,11.91297,13.06018,-21.68431,-19.2752,0.877,0.874,0.875,0.857,0.871,0.89,23.29918
"2014-07-30 00:45:00",52,424.2137,413.3983,414.9819,825.4482,0.6100744,400.1897,14.69684,14.27355,14.10162,15.12862,1.092526,1.348225,99.28456,99.26118,99.24778,99.53088,99.58379,99.5972,50.65994,50.66256,50.66772,50.66512,50.66254,50.65994,12.5469,12.09874,11.91281,13.02684,-21.68431,-19.2752,0.888,0.887,0.876,0.878,0.871,0.89,23.22702
"2014-07-30 01:00:00",53,412.1937,410.0215,407.8331,804.6779,0.6100744,400.1897,14.31597,13.87526,13.75498,14.96342,1.092526,1.348225,99.29608,99.26902,99.2623,99.53893,99.58379,99.5972,50.65994,50.6703,50.66512,50.66254,50.66254,50.65994,12.14916,11.67091,11.5382,12.86022,-21.68431,-19.2752,0.887,0.881,0.881,0.866,0.871,0.89,23.11998
"2014-07-30 01:15:00",54,416.2824,410.4792,412.9995,785.7477,0.6100744,400.1897,14.29864,13.85956,13.72627,14.89504,1.092526,1.348225,99.29554,99.26421,99.26365,99.5341,99.58379,99.5972,50.66254,50.66772,50.65994,50.66254,50.66254,50.65994,12.13069,11.65305,11.50682,12.78953,-21.68431,-19.2752,0.89,0.891,0.888,0.879,0.871,0.89,22.99838
"2014-07-30 01:30:00",55,413.174,410.1248,411.0402,785.337,0.6100744,400.1897,14.12323,13.76485,13.64535,14.74729,1.092526,1.348225,99.28778,99.26928,99.25532,99.53569,99.58379,99.5972,50.66254,50.67288,50.6677,50.65996,50.66254,50.65994,11.94213,11.55011,11.4162,12.63767,-21.68431,-19.2752,0.895,0.888,0.887,0.886,0.871,0.89,22.84027
"2014-07-30 01:45:00",56,415.5461,407.7349,408.2071,860.3875,0.6100744,400.1897,14.02218,13.69784,13.56248,14.49704,1.092526,1.348225,99.2859,99.25453,99.24936,99.53436,99.58379,99.5972,50.66512,50.6677,50.66512,50.66772,50.66254,50.65994,11.83297,11.47411,11.32335,12.37673,-21.68431,-19.2752,0.895,0.889,0.89,0.881,0.871,0.89,22.5656
"2014-07-30 02:00:00",57,411.709,409.4297,403.0244,1031.109,0.6100744,400.1897,13.85417,13.61944,13.48099,14.2924,1.092526,1.348225,99.27064,99.25342,99.24106,99.5188,99.58379,99.5972,50.65736,50.66512,50.66254,50.6677,50.66254,50.65994,11.64814,11.38721,11.23117,12.15817,-21.68431,-19.2752,0.896,0.893,0.884,0.892,0.871,0.89,22.23105
"2014-07-30 02:15:00",58,409.2519,403.8183,404.6608,1054.971,0.6100744,400.1897,13.80212,13.51015,13.41748,14.11898,1.092526,1.348225,99.26956,99.24374,99.24186,99.51961,99.58379,99.5972,50.66252,50.65994,50.66254,50.66512,50.66254,50.65994,11.59103,11.26415,11.1601,11.97295,-21.68431,-19.2752,0.899,0.895,0.89,0.892,0.871,0.89,22.01953
"2014-07-30 02:30:00",59,408.5516,406.9554,406.0045,1159.18,0.6100744,400.1897,13.80344,13.49785,13.40326,14.03227,1.092526,1.348225,99.26448,99.24722,99.24106,99.51746,99.58379,99.5972,50.66252,50.66514,50.66254,50.65996,50.66254,50.65994,11.59171,11.25095,11.14398,11.87919,-21.68431,-19.2752,0.905,0.899,0.891,0.892,0.871,0.89,21.86117
"2014-07-30 02:45:00",60,410.4683,410.6249,406.5182,1105.147,0.6100744,400.1897,13.735,13.5071,13.42291,13.89182,1.092526,1.348225,99.25937,99.24212,99.2298,99.50187,99.58379,99.5972,50.66252,50.66514,50.66772,50.66254,50.66254,50.65994,11.51579,11.26053,11.16434,11.72441,-21.68431,-19.2752,0.906,0.901,0.897,0.898,0.871,0.89,21.65829
"2014-07-30 03:00:00",61,415.5728,408.2469,407.1146,1210.775,0.6100744,400.1897,13.62084,13.42678,13.35383,13.75123,1.092526,1.348225,99.23944,99.21828,99.20399,99.49272,99.58379,99.5972,50.65994,50.66514,50.6677,50.66514,50.66254,50.65994,11.38664,11.16695,11.08266,11.56913,-21.68431,-19.2752,0.905,0.9,0.901,0.894,0.871,0.89,21.39282
"2014-07-30 03:15:00",62,423.5332,417.9545,412.4902,1322.842,0.6100744,400.1897,13.33979,13.21364,13.17676,13.39114,1.092526,1.348225,99.2349,99.21186,99.21558,99.48761,99.58379,99.5972,50.66512,50.66774,50.66772,50.67032,50.66254,50.65994,11.07154,10.92499,10.88353,11.16777,-21.68431,-19.2752,0.914,0.908,0.899,0.903,0.871,0.89,20.99582
"2014-07-30 03:30:00",63,421.4888,417.3869,410.7032,1121.066,0.6100744,400.1897,13.2519,13.17844,13.15411,13.16179,1.092526,1.348225,99.24722,99.22364,99.21828,99.4911,99.58379,99.5972,50.66252,50.66512,50.66254,50.65738,50.66254,50.65994,10.97388,10.88663,10.85804,10.90812,-21.68431,-19.2752,0.919,0.909,0.905,0.906,0.871,0.89,20.66966
"2014-07-30 03:45:00",64,432.3558,424.655,418.9119,1054.364,0.6100744,400.1897,13.0493,12.99938,12.98367,12.89759,1.092526,1.348225,99.24001,99.21964,99.22016,99.48924,99.58379,99.5972,50.66252,50.6703,50.66772,50.66772,50.66254,50.65994,10.74109,10.68044,10.66238,10.60317,-21.68431,-19.2752,0.916,0.916,0.909,0.912,0.871,0.89,20.35979
"2014-07-30 04:00:00",65,436.6649,420.2732,422.0077,978.9862,0.6100744,400.1897,12.95485,12.95347,12.96031,12.69841,1.092526,1.348225,99.25374,99.2349,99.2274,99.50618,99.58379,99.5972,50.66252,50.6729,50.66774,50.66772,50.66254,50.65994,10.63408,10.62963,10.63644,10.37242,-21.68431,-19.2752,0.921,0.918,0.912,0.912,0.871,0.89,20.06067
